variant,fbmplut2056,eufdeperfca2108,abs583,lub1314,pbnlat15467,pnkxxiiif204,fsuincquart706a,mbsclm19414,lol490,rsa6519,nbl1183,pbm305,pbnlat14435,mbelat693,eufdeperfca2079,lblcotrollxiv12,pnkiiie5,fub36a,khaw247,lbm445,won363,lblroy14bix,mbsclm16223,CCC83,bsbtheollatfol64,dclbii33,culdd116,pbnlat5101,swltheolphil2122,CodTriv489,vbb342,penmasson71,gflchaa16,lblhar658,pfllewe202,mrmmik6365,kac696,lol390,won364,CCC503,mbm89,dul190,vbapallat1723,fbmplut1511,lbladd14819,whafol70,avr166,pbnlat10431,chltyp216,bwaw796,pfllewe72,mbscgm564,mbsclm8201,vbapallat963,ctcb155,won1548,abs128,nblmar26,mjrgast2037,tburps75iii,won378,fbrricc236,gflchaa4,aux145,mbsclm314,akbwettf9,mbsclm2660,ctcb154,no signature yet,mbsclm14969,pbnlat15637,aux146,msrh193,akbwettf267,mlm4989,vbavatlat1972,mbsclm28173,cmb183,bas4,lubapel1,pbnlat15254,lbladd606281,cma1973,pbnlat297,ccc29,lblcotvitciii,bun762,hubsalix40,pba1234,vbavatlat3782,CCC437,fsugermquart13,whaguelf360helm,culdd812,vbavatlat3783
gen ii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
formatus,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,-,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1
in agro damasceno,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a deo,-,-,-,-,-,-,-,-,-,-,0,-,-,1,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
geniic,-,-,-,-,-,-,-,-,-,-,1,-,-,0,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
est,-,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
et,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,-,1,1
ut,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,-,0,0
translatus,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
in,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1
parady,-,-,0,-,0,0,-,-,-,-,-,-,1,-,-,0,-,0,0,-,0,-,-,-,0,-,-,0,0,-,-,0,-,-,-,-,0,0,0,-,0,-,-,-,-,-,-,-,-,0,-,0,0,-,-,-,1,-,-,-,-,-,-,0,0,1,-,-,-,-,0,-,-,0,0,0,0,-,-,-,0,-,0,-,0,-,0,0,-,-,0,-,-,-,-
de s,-,-,0,-,0,0,-,-,-,-,-,-,0,-,-,0,-,0,0,-,0,-,-,-,0,-,-,0,1,-,-,0,-,-,-,-,0,0,0,-,0,-,-,-,-,-,-,-,-,0,-,0,0,-,-,-,0,-,-,-,-,-,-,0,0,0,-,-,-,-,0,-,-,0,0,0,0,-,-,-,0,-,0,-,0,-,0,0,-,-,0,-,-,-,-
das paradis davon vier wasser flissent geon,-,-,0,-,0,0,-,-,-,-,-,-,0,-,-,0,-,0,0,-,0,-,-,-,0,-,-,0,0,-,-,0,-,-,-,-,0,0,0,-,0,-,-,-,-,-,-,-,-,0,-,1,0,-,-,-,0,-,-,-,-,-,-,0,0,0,-,-,-,-,0,-,-,0,0,0,0,-,-,-,0,-,0,-,0,-,0,0,-,-,0,-,-,-,-
pa,-,-,1,-,0,0,-,-,-,-,-,-,0,-,-,0,-,0,0,-,0,-,-,-,0,-,-,1,0,-,-,0,-,-,-,-,1,0,0,-,0,-,-,-,-,-,-,-,-,0,-,0,0,-,-,-,0,-,-,-,-,-,-,0,0,0,-,-,-,-,0,-,-,0,0,0,0,-,-,-,0,-,0,-,0,-,0,0,-,-,0,-,-,-,-
paradi,-,-,0,-,0,0,-,-,-,-,-,-,0,-,-,0,-,0,0,-,0,-,-,-,0,-,-,0,0,-,-,0,-,-,-,-,0,1,0,-,0,-,-,-,-,-,-,-,-,0,-,0,0,-,-,-,0,-,-,-,-,-,-,1,0,0,-,-,-,-,0,-,-,0,0,1,0,-,-,-,0,-,0,-,0,-,0,0,-,-,0,-,-,-,-
paradyso,-,-,0,-,1,0,-,-,-,-,-,-,0,-,-,0,-,0,0,-,0,-,-,-,0,-,-,0,0,-,-,0,-,-,-,-,0,0,0,-,0,-,-,-,-,-,-,-,-,0,-,0,0,-,-,-,0,-,-,-,-,-,-,0,0,0,-,-,-,-,0,-,-,0,0,0,0,-,-,-,0,-,0,-,0,-,0,1,-,-,0,-,-,-,-
paradysum,-,-,0,-,0,1,-,-,-,-,-,-,0,-,-,1,-,1,1,-,1,-,-,-,1,-,-,0,0,-,-,1,-,-,-,-,0,0,0,-,0,-,-,-,-,-,-,-,-,1,-,0,1,-,-,-,0,-,-,-,-,-,-,0,1,0,-,-,-,-,1,-,-,1,1,0,1,-,-,-,0,-,1,-,0,-,0,0,-,-,1,-,-,-,-
para,-,-,0,-,0,0,-,-,-,-,-,-,0,-,-,0,-,0,0,-,0,-,-,-,0,-,-,0,0,-,-,0,-,-,-,-,0,0,1,-,1,-,-,-,-,-,-,-,-,0,-,0,0,-,-,-,0,-,-,-,-,-,-,0,0,0,-,-,-,-,0,-,-,0,0,0,0,-,-,-,1,-,0,-,1,-,1,0,-,-,0,-,-,-,-
sum,0,0,0,0,-,-,-,0,0,0,0,0,1,0,0,-,0,-,-,0,-,0,0,0,-,0,0,0,0,0,0,-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,0,0,0,1,0,0,0,0,0,0,1,-,1,0,0,-,-,-,0,0,0,-,1,-,0,0,0,0,0,-,0,0,-,0,-,0,0,-,0,0,0,0
paradisum,1,1,0,1,-,-,-,1,1,1,1,1,0,1,1,-,1,-,-,1,-,1,1,1,-,1,1,0,1,1,1,-,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,-,1,-,-,1,1,1,0,1,1,1,1,1,1,0,-,0,1,1,-,-,-,1,1,0,-,0,-,1,1,1,0,1,-,1,0,-,0,-,1,1,-,1,1,1,1
radysum,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,-,0,-,-,0,-,0,0,0,-,0,0,0,0,0,0,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,-,0,0,-,0,0,0,0
collocatus,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,-,0,-,-,0,-,0,0,0,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0,0,1,-,0,-,0,0,0,0,0,-,0,0,-,0,-,0,0,-,0,0,0,0
dysum,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,-,0,-,-,0,-,0,0,0,-,0,0,0,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0,0,0,-,0,-,0,0,0,0,0,-,0,1,-,0,-,0,0,-,0,0,0,0
radisum,0,0,1,0,-,-,-,0,0,0,0,0,0,0,0,-,0,-,-,0,-,0,0,0,-,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0,0,0,-,0,-,0,0,0,0,0,-,0,0,-,0,-,0,0,-,0,0,0,0
disum,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,-,0,-,-,0,-,0,0,0,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,0,-,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0,0,0,-,0,-,0,0,0,1,0,-,0,0,-,1,-,0,0,-,0,0,0,0
translatus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
undeiiiior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
unde,1,1,1,1,1,1,-,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1
quatuor,0,1,0,0,1,0,-,0,0,0,-,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,-,1,0,1,-,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,-,-,0,0,1,1,-,1,0,0,0,1,0,1,0,0,0,-,0,0,0,1,1,0,0,1,0
quator,0,0,0,0,0,1,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
iiiior,1,0,0,1,0,0,-,1,1,0,-,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,-,0,0,0,-,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,-,-,1,1,0,0,-,0,0,0,1,0,0,0,0,0,1,-,1,1,1,0,0,0,0,0,1
iiii,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,-,0,1,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,1,0,-,0,0,0,0,0,0,0,0,0
4or,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,-,0,1,1,0,0,0,0,0,0,0,-,0,0,0,0,0,0,1,0,0
quattuor,0,0,1,0,0,0,-,0,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,1,0,0,0
iiior,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,0,1,0,0,0,0,-,0,0,0,0,0,0,0,0,0
oriuntur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
flumimina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
flumia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
flumi na,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,1,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
flumina,1,1,1,1,1,1,-,1,1,1,-,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1
flumina,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
oriuntur,1,1,1,1,1,1,-,1,0,1,-,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,-,-,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1
ori untur,0,0,0,0,0,0,-,0,1,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
or,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
trans latus,0,0,1,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,-,0,0,0,-,0,0,0,0,0,0,1,0,0,0,0,-,0,0,1,0,0,0,0,0,0
translatus,1,1,0,1,1,1,-,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-,-,1,1,1,-,1,1,1,1,1,1,0,1,1,1,1,-,1,1,0,1,1,1,1,1,1
transla tus,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0
cum,1,1,-,0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
de,0,0,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,1,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
s,0,0,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-
scilicet,0,0,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,-,-,-
dum,0,0,-,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-
